execution_date,last_execution_date,day_diff_last_execution_date
2023-05-02,2023-05-01,0
2023-05-03,2023-05-02,0
2023-05-03,2023-05-02,0
2023-05-04,2023-05-03,0
2023-05-06,2023-05-04,1
